# ccr  v  min_costs  heft_make_span  cpop_make_span  heft_slr  cpop_slr
0.1  100  155  613  753  3.95  4.86
0.1  40  174  232  278  1.33  1.6
0.1  20  78  107  78  1.37  1.0
0.1  100  209  588  681  2.81  3.26
0.1  80  282  540  616  1.91  2.18
0.1  80  167  442  510  2.65  3.05
0.1  100  320  557  848  1.74  2.65
0.1  40  128  248  278  1.94  2.17
0.1  40  199  323  457  1.62  2.3
0.1  80  168  556  623  3.31  3.71
0.1  40  128  268  346  2.09  2.7
0.1  20  114  173  182  1.52  1.6
0.1  100  424  646  904  1.52  2.13
0.1  60  215  306  364  1.42  1.69
0.1  80  118  273  348  2.31  2.95
0.1  100  375  758  1114  2.02  2.97
0.1  20  118  121  168  1.03  1.42
0.1  100  140  472  473  3.37  3.38
0.1  100  230  439  709  1.91  3.08
0.1  40  81  91  143  1.12  1.77
0.5  60  132  274  333  2.08  2.52
0.5  80  101  281  298  2.78  2.95
0.5  80  102  178  255  1.75  2.5
0.5  80  122  321  391  2.63  3.2
0.5  20  74  84  82  1.14  1.11
0.5  80  184  496  574  2.7  3.12
0.5  100  346  571  830  1.65  2.4
0.5  60  199  384  463  1.93  2.33
0.5  60  186  332  393  1.78  2.11
0.5  60  222  427  576  1.92  2.59
0.5  40  258  381  498  1.48  1.93
0.5  80  88  310  301  3.52  3.42
0.5  40  149  380  342  2.55  2.3
0.5  40  216  295  394  1.37  1.82
0.5  40  76  199  193  2.62  2.54
0.5  20  122  160  194  1.31  1.59
0.5  20  68  70  68  1.03  1.0
0.5  40  174  238  308  1.37  1.77
0.5  60  298  467  539  1.57  1.81
0.5  20  102  147  160  1.44  1.57
1.0  80  89  177  219  1.99  2.46
1.0  60  214  329  411  1.54  1.92
1.0  40  245  320  438  1.31  1.79
1.0  60  232  359  421  1.55  1.81
1.0  20  115  137  150  1.19  1.3
1.0  80  395  675  918  1.71  2.32
1.0  20  76  169  168  2.22  2.21
1.0  40  278  412  439  1.48  1.58
1.0  100  60  292  365  4.87  6.08
1.0  20  33  70  67  2.12  2.03
1.0  80  83  318  368  3.83  4.43
1.0  80  438  722  943  1.65  2.15
1.0  20  147  226  255  1.54  1.73
1.0  20  138  236  195  1.71  1.41
1.0  40  111  283  286  2.55  2.58
1.0  20  42  72  70  1.71  1.67
1.0  80  74  246  258  3.32  3.49
1.0  100  170  428  657  2.52  3.86
1.0  20  80  181  161  2.26  2.01
1.0  40  111  135  168  1.22  1.51
5.0  40  141  333  341  2.36  2.42
5.0  100  247  1058  1070  4.28  4.33
5.0  20  125  380  384  3.04  3.07
5.0  40  199  606  699  3.05  3.51
5.0  60  128  404  395  3.16  3.09
5.0  100  189  676  801  3.58  4.24
5.0  80  72  434  478  6.03  6.64
5.0  80  114  766  885  6.72  7.76
5.0  60  145  627  592  4.32  4.08
5.0  40  70  213  157  3.04  2.24
5.0  100  49  306  422  6.24  8.61
5.0  80  229  874  784  3.82  3.42
5.0  100  274  1166  1187  4.26  4.33
5.0  20  56  238  268  4.25  4.79
5.0  40  117  345  342  2.95  2.92
5.0  40  66  340  267  5.15  4.05
5.0  20  55  197  177  3.58  3.22
5.0  60  290  767  980  2.64  3.38
5.0  80  75  377  405  5.03  5.4
5.0  40  172  362  357  2.1  2.08
10.0  60  77  680  697  8.83  9.05
10.0  60  98  535  731  5.46  7.46
10.0  100  207  937  933  4.53  4.51
10.0  60  129  633  621  4.91  4.81
10.0  80  164  1225  1456  7.47  8.88
10.0  100  109  698  716  6.4  6.57
10.0  80  214  1477  1439  6.9  6.72
10.0  40  75  326  213  4.35  2.84
10.0  100  84  550  461  6.55  5.49
10.0  20  65  350  345  5.38  5.31
10.0  100  80  1037  879  12.96  10.99
10.0  40  80  396  384  4.95  4.8
10.0  100  142  1049  980  7.39  6.9
10.0  60  113  921  790  8.15  6.99
10.0  20  90  431  656  4.79  7.29
10.0  100  144  946  926  6.57  6.43
10.0  20  100  234  203  2.34  2.03
10.0  80  196  1037  1194  5.29  6.09
10.0  60  167  473  508  2.83  3.04
