# beta  v  min_costs  heft_make_span  cpop_make_span  heft_slr  cpop_slr
0.1  20  59  75  85  1.27  1.44
0.1  20  84  280  262  3.33  3.12
0.1  60  34  275  246  8.09  7.24
0.1  60  321  461  466  1.44  1.45
0.1  60  159  1112  1043  6.99  6.56
0.1  80  162  601  494  3.71  3.05
0.1  60  44  143  143  3.25  3.25
0.1  60  107  672  587  6.28  5.49
0.1  100  128  628  692  4.91  5.41
0.1  100  291  751  671  2.58  2.31
0.1  80  51  174  198  3.41  3.88
0.1  60  166  836  882  5.04  5.31
0.1  60  326  527  674  1.62  2.07
0.1  40  160  490  456  3.06  2.85
0.1  20  40  59  55  1.48  1.38
0.1  60  159  270  325  1.7  2.04
0.1  100  170  1221  1313  7.18  7.72
0.1  80  198  1077  1014  5.44  5.12
0.1  100  394  546  739  1.39  1.88
0.1  80  65  450  282  6.92  4.34
0.25  20  170  247  222  1.45  1.31
0.25  80  202  521  595  2.58  2.95
0.25  20  63  153  168  2.43  2.67
0.25  100  218  952  807  4.37  3.7
0.25  40  79  120  134  1.52  1.7
0.25  80  103  260  285  2.52  2.77
0.25  60  77  182  205  2.36  2.66
0.25  80  180  294  353  1.63  1.96
0.25  40  181  517  611  2.86  3.38
0.25  20  75  244  266  3.25  3.55
0.25  20  171  204  207  1.19  1.21
0.25  20  81  407  756  5.02  9.33
0.25  20  82  127  110  1.55  1.34
0.25  80  43  343  340  7.98  7.91
0.25  20  39  83  61  2.13  1.56
0.25  100  212  1262  989  5.95  4.67
0.25  100  62  301  296  4.85  4.77
0.25  40  87  183  233  2.1  2.68
0.25  20  88  111  100  1.26  1.14
0.25  80  167  478  555  2.86  3.32
0.5  40  161  317  358  1.97  2.22
0.5  60  85  254  258  2.99  3.04
0.5  80  112  637  494  5.69  4.41
0.5  100  254  546  664  2.15  2.61
0.5  40  111  159  222  1.43  2.0
0.5  40  123  185  181  1.5  1.47
0.5  40  67  147  162  2.19  2.42
0.5  20  43  208  242  4.84  5.63
0.5  80  151  379  413  2.51  2.74
0.5  60  218  376  452  1.72  2.07
0.5  100  102  357  411  3.5  4.03
0.5  80  122  327  371  2.68  3.04
0.5  100  493  821  1086  1.67  2.2
0.5  20  85  113  89  1.33  1.05
0.5  40  40  82  91  2.05  2.27
0.5  60  284  417  576  1.47  2.03
0.5  100  97  379  432  3.91  4.45
0.5  100  138  500  557  3.62  4.04
0.5  100  119  678  634  5.7  5.33
0.5  40  99  127  153  1.28  1.55
0.75  20  88  117  131  1.33  1.49
0.75  80  365  1098  845  3.01  2.32
0.75  100  146  1001  1008  6.86  6.9
0.75  80  198  464  574  2.34  2.9
0.75  20  26  92  104  3.54  4.0
0.75  20  39  60  61  1.54  1.56
0.75  60  168  283  396  1.68  2.36
0.75  40  126  218  292  1.73  2.32
0.75  40  211  305  454  1.45  2.15
0.75  20  34  50  49  1.47  1.44
0.75  80  166  505  571  3.04  3.44
0.75  100  269  1400  989  5.2  3.68
0.75  100  194  903  629  4.65  3.24
0.75  40  170  284  330  1.67  1.94
0.75  20  42  62  60  1.48  1.43
0.75  60  192  234  345  1.22  1.8
0.75  80  123  330  422  2.68  3.43
0.75  20  68  132  140  1.94  2.06
0.75  20  83  137  121  1.65  1.46
0.75  100  186  519  499  2.79  2.68
1.0  80  79  245  298  3.1  3.77
1.0  80  62  179  205  2.89  3.31
1.0  20  18  98  130  5.44  7.22
1.0  80  144  362  510  2.51  3.54
1.0  20  73  96  124  1.32  1.7
1.0  40  154  558  390  3.62  2.53
1.0  40  89  320  317  3.6  3.56
1.0  40  120  251  288  2.09  2.4
1.0  80  92  573  476  6.23  5.17
1.0  100  208  491  699  2.36  3.36
1.0  20  77  232  288  3.01  3.74
1.0  80  178  712  843  4.0  4.74
1.0  60  170  307  361  1.81  2.12
1.0  20  69  126  119  1.83  1.72
1.0  100  86  366  422  4.26  4.91
1.0  40  110  171  230  1.55  2.09
1.0  80  251  1105  1349  4.4  5.37
1.0  100  176  595  629  3.38  3.57
1.0  60  108  252  333  2.33  3.08
1.0  100  118  411  543  3.48  4.6
