# v  min_costs  min_comp_costs  heft_makespan  cpop_makespan  heft_slr  cpop_slr  speedup_heft  speedup_cpop
20  41  138  87  69  2.12  1.68  1.59  2.0
20  68  158  84  110  1.24  1.62  1.88  1.44
20  122  353  143  189  1.17  1.55  2.47  1.87
20  99  308  146  190  1.47  1.92  2.11  1.62
20  80  290  238  213  2.98  2.66  1.22  1.36
20  120  262  133  173  1.11  1.44  1.97  1.51
20  66  263  321  234  4.86  3.55  0.82  1.12
20  61  194  90  94  1.48  1.54  2.16  2.06
20  60  243  278  311  4.63  5.18  0.87  0.78
20  77  188  92  102  1.19  1.32  2.04  1.84
20  142  400  164  169  1.15  1.19  2.44  2.37
20  110  309  310  445  2.82  4.05  1.0  0.69
20  63  133  101  79  1.6  1.25  1.32  1.68
20  74  150  196  247  2.65  3.34  0.77  0.61
20  89  392  195  213  2.19  2.39  2.01  1.84
20  72  154  173  187  2.4  2.6  0.89  0.82
20  51  185  182  222  3.57  4.35  1.02  0.83
20  154  336  212  212  1.38  1.38  1.58  1.58
20  103  276  117  131  1.14  1.27  2.36  2.11
20  148  341  202  220  1.36  1.49  1.69  1.55
40  109  629  207  229  1.9  2.1  3.04  2.75
40  58  264  108  107  1.86  1.84  2.44  2.47
40  200  706  314  296  1.57  1.48  2.25  2.39
40  59  697  483  532  8.19  9.02  1.44  1.31
40  161  768  307  364  1.91  2.26  2.5  2.11
40  214  729  285  335  1.33  1.57  2.56  2.18
40  72  235  164  175  2.28  2.43  1.43  1.34
40  267  836  297  466  1.11  1.75  2.81  1.79
40  99  575  248  237  2.51  2.39  2.32  2.43
40  150  412  474  403  3.16  2.69  0.87  1.02
40  151  724  279  326  1.85  2.16  2.59  2.22
40  247  761  348  473  1.41  1.91  2.19  1.61
40  128  667  465  367  3.63  2.87  1.43  1.82
40  52  363  152  147  2.92  2.83  2.39  2.47
40  139  836  879  752  6.32  5.41  0.95  1.11
40  157  792  279  387  1.78  2.46  2.84  2.05
40  249  764  277  417  1.11  1.67  2.76  1.83
40  181  856  309  409  1.71  2.26  2.77  2.09
40  223  838  853  828  3.83  3.71  0.98  1.01
40  136  402  175  185  1.29  1.36  2.3  2.17
60  168  636  237  333  1.41  1.98  2.68  1.91
60  104  526  363  299  3.49  2.88  1.45  1.76
60  134  848  490  471  3.66  3.51  1.73  1.8
60  201  723  266  342  1.32  1.7  2.72  2.11
60  67  489  452  434  6.75  6.48  1.08  1.13
60  155  1373  485  512  3.13  3.3  2.83  2.68
60  243  1087  424  573  1.74  2.36  2.56  1.9
60  194  714  316  398  1.63  2.05  2.26  1.79
60  47  321  110  129  2.34  2.74  2.92  2.49
60  83  593  247  244  2.98  2.94  2.4  2.43
60  184  1262  634  736  3.45  4.0  1.99  1.71
60  277  1236  1274  1381  4.6  4.99  0.97  0.9
60  66  517  414  385  6.27  5.83  1.25  1.34
60  272  1128  405  535  1.49  1.97  2.79  2.11
60  120  430  176  247  1.47  2.06  2.44  1.74
60  217  750  302  406  1.39  1.87  2.48  1.85
60  64  325  127  161  1.98  2.52  2.56  2.02
60  135  1043  374  425  2.77  3.15  2.79  2.45
60  125  466  188  222  1.5  1.78  2.48  2.1
60  62  939  472  542  7.61  8.74  1.99  1.73
80  163  1225  695  746  4.26  4.58  1.76  1.64
80  59  522  205  220  3.47  3.73  2.55  2.37
80  40  493  233  247  5.83  6.17  2.12  2.0
80  246  1316  518  610  2.11  2.48  2.54  2.16
80  161  665  419  395  2.6  2.45  1.59  1.68
80  107  744  540  523  5.05  4.89  1.38  1.42
80  125  571  528  493  4.22  3.94  1.08  1.16
80  104  698  275  297  2.64  2.86  2.54  2.35
